id,title,authors,abstract,pdf_path
1,Introduction to the Design and Analysis of Algorithms (2-downloads),Anany Levitin,No abstract available,"papers/J Textbook - Design and Analysis of Algorithms 3e (Pearson, 2012).pdf"
2,ADVANCED ENGINEERING MATHEMATICS (10TH EDITION),ERWIN KREYSZIG,No abstract available,papers/Advanced engineering mathematics.pdf
3,Object-Oriented Programming in C++ (4th Edition),Robert Lafore,No abstract available,papers/C++ object orianted programming.pdf
4,Computer Fundamentals: Pradeep K. Sinha & Priti Sinha,Computer Fundamentals,No abstract available,papers/computer_fundamental_complete-i.pdf
5,"Fundamentals of Information Systems , 6th ed.",Ralph Stair,No abstract available,papers/Fundamental of Information System.pdf
6,Unknown Title,Unknown Authors,No abstract available,papers/BIS Introduction-to-Business-Jeff-Madura - Copy.pdf
7,Digital Fundamentals,Digital Fundamentals,No abstract available,papers/DIGITAL_ELECTRONICS-by-Flyod (1).pdf
8,194917_Print.indd,0009172,No abstract available,papers/Introduction to Artificial Intelligence-Springer (2018).pdf
9,Essentials of Materials Science & Engineering,Unknown Authors,No abstract available,papers/Essentials_of_Materials_Science_&_Engineering_PDFDrive_2.pdf
10,Unknown Title,Unknown Authors,No abstract available,"papers/Industrial_Engineering_And_Management_by_Kumar,_Pravin_z_lib_org.pdf"
11,Control Systems Engineering,Norman S. Nise,No abstract available,papers/Control_Systems_Engineering7th_Editionby.pdf
12,Unknown Title,Unknown Authors,No abstract available,papers/Modern Control System by Nyan Tun Naing.pdf
13,Hamilton Baileys: Demonstrations of Physical Signs in Clinical Surgery,John S. P. Lumley,No abstract available,papers/Hamilton-bailey-19e-2016.pdf
14,Grant's Atlas of Anatomy 14th,Unknown Authors,No abstract available,papers/Grant’s Atlas of Anatomy 14e (2016).pdf
